facility_id,facility_name,address,ward,hotel_license_type,license_date,latitude,longitude,ヨーロッパ小計,中国,北米小計,国内合計,東南アジア小計,海外合計,韓国
id_1,あらか嵐山渡月邸　南棟,京都市西京区嵐山中尾下町１４番地４　国有地,西京区,簡易宿所,R1.8.26,35.0105125,135.6784014,25,0,0,52,1,29,2
id_2,ＣＯＴＯ京都伏見稲荷１,京都市伏見区深草一ノ坪町２９番地７,伏見区,簡易宿所,H29.5.1,34.9686276,135.7694913,8,10,128,91,11,182,2
id_3,ホテルグラッドワン京都七条　ｂｙ　Ｍ’ｓ,京都市下京区正面通木屋町東入北側鍵屋町３３７番京都市下京区三ノ宮町通正面上る富松町２５９番,下京区,旅館・ホテル,H29.10.2,34.9921283,135.7659456,13,26,6,84,18,74,6
id_4,万葉居,京都市下京区油小路通五条上る上金仏町２６０番地２,下京区,簡易宿所,R1.8.20,34.9971093,135.7540401,9,29,5,74,2,47,0
id_5,京都旅宿　小春日和,京都市下京区西新屋敷下之町６番地３,下京区,簡易宿所,H29.4.19,34.9928361,135.7430825,0,6,9,27,3,20,1
id_6,利々　京都,京都市下京区新町通楊梅下る蛭子町１２３番地２,下京区,簡易宿所,R4.7.21,34.995088,135.7565688,3,0,0,28,3,11,0
id_7,ｈｙｇｇｅ花屋町,京都市下京区二人司町１２番地３,下京区,簡易宿所,R4.4.15,34.992614,135.7466089,0,3,19,25,3,29,0
id_8,喜承庵,京都市中京区麸屋町通二条上る布袋屋町４９５番地３,中京区,簡易宿所,R2.3.3,35.0145367,135.7656827,27,41,16,84,11,160,3
id_9,室・近吉,京都市下京区鍵屋町通烏丸西入鍵屋町３２６番地，３２７番地,下京区,簡易宿所,H25.9.30,34.9950424,135.7585262,9,0,44,59,2,72,16
id_10,ｇｕｅｓｔ　ｈｏｕｓｅ　Ｐｅａｃｅ,京都市南区八条通大宮西入九条町６２１番地２９,南区,簡易宿所,H30.1.9,34.9836439,135.748369,12,32,47,68,4,215,0
id_11,オリックス京都嵐山荘,京都市右京区嵯峨天龍寺芒ノ馬場町１７番地,右京区,簡易宿所,H26.3.10,35.0167611,135.6764674,0,0,1,20,1,2,0
id_12,ゲストハウス松家,京都市中京区押小路通柳馬場東入橘町６１３番地４,中京区,簡易宿所,H29.3.13,35.0122318,135.7660184,30,6,14,104,11,90,7
id_13,京町家　桃,京都市上京区下立売通千本西入稲葉町４５１番地１,上京区,簡易宿所,R4.12.1,35.0202554,135.7417576,8,43,25,101,11,100,0
id_14,悠,京都市下京区若宮通六条西入上若宮町９４番,下京区,簡易宿所,H21.4.8,34.9942355,135.7557937,3,10,16,41,3,33,0
id_15,慶有魚・芸軒,京都市東山区建仁寺町四条下る四丁目小松町５７２番地７,東山区,簡易宿所,R6.4.26,34.9984516,135.7742613,6,2,6,31,2,16,0
id_16,静か庵,京都市東山区三条通南裏白川筋西入三丁目南西海子町４２９番地３,東山区,簡易宿所,H28.7.12,35.009339,135.7770372,1,0,5,37,1,12,0
