facility_id,facility_name,address,ward,hotel_license_type,license_date,latitude,longitude,ヨーロッパ小計,中国,北米小計,国内合計,東南アジア小計,海外合計,韓国
id_1,あらか嵐山渡月邸　南棟,京都市西京区嵐山中尾下町１４番地４　国有地,西京区,簡易宿所,R1.8.26,35.0105125,135.6784014,2,19,0,50,0,25,1
id_2,ＣＯＴＯ京都伏見稲荷１,京都市伏見区深草一ノ坪町２９番地７,伏見区,簡易宿所,H29.5.1,34.9686276,135.7694913,3,29,6,101,8,133,52
id_3,ホテルグラッドワン京都七条　ｂｙ　Ｍ’ｓ,京都市下京区正面通木屋町東入北側鍵屋町３３７番京都市下京区三ノ宮町通正面上る富松町２５９番,下京区,旅館・ホテル,H29.10.2,34.9921283,135.7659456,2,2,11,81,1,51,4
id_4,万葉居,京都市下京区油小路通五条上る上金仏町２６０番地２,下京区,簡易宿所,R1.8.20,34.9971093,135.7540401,9,25,4,67,5,49,2
id_5,京都旅宿　小春日和,京都市下京区西新屋敷下之町６番地３,下京区,簡易宿所,H29.4.19,34.9928361,135.7430825,0,2,1,27,0,33,0
id_6,利々　京都,京都市下京区新町通楊梅下る蛭子町１２３番地２,下京区,簡易宿所,R4.7.21,34.995088,135.7565688,3,3,0,28,0,12,0
id_7,ｈｙｇｇｅ花屋町,京都市下京区二人司町１２番地３,下京区,簡易宿所,R4.4.15,34.992614,135.7466089,1,0,0,22,0,7,0
id_8,喜承庵,京都市中京区麸屋町通二条上る布袋屋町４９５番地３,中京区,簡易宿所,R2.3.3,35.0145367,135.7656827,36,8,27,99,6,115,9
id_9,室・近吉,京都市下京区鍵屋町通烏丸西入鍵屋町３２６番地，３２７番地,下京区,簡易宿所,H25.9.30,34.9950424,135.7585262,11,7,4,73,0,66,2
id_10,ｇｕｅｓｔ　ｈｏｕｓｅ　Ｐｅａｃｅ,京都市南区八条通大宮西入九条町６２１番地２９,南区,簡易宿所,H30.1.9,34.9836439,135.748369,15,4,24,86,6,75,16
id_11,オリックス京都嵐山荘,京都市右京区嵯峨天龍寺芒ノ馬場町１７番地,右京区,簡易宿所,H26.3.10,35.0167611,135.6764674,0,4,1,22,0,7,1
id_12,ゲストハウス松家,京都市中京区押小路通柳馬場東入橘町６１３番地４,中京区,簡易宿所,H29.3.13,35.0122318,135.7660184,14,70,87,107,9,204,11
id_13,京町家　桃,京都市上京区下立売通千本西入稲葉町４５１番地１,上京区,簡易宿所,R4.12.1,35.0202554,135.7417576,17,14,1,86,3,57,11
id_14,悠,京都市下京区若宮通六条西入上若宮町９４番,下京区,簡易宿所,H21.4.8,34.9942355,135.7557937,0,3,1,35,1,18,0
id_15,慶有魚・芸軒,京都市東山区建仁寺町四条下る四丁目小松町５７２番地７,東山区,簡易宿所,R6.4.26,34.9984516,135.7742613,2,23,0,30,8,33,0
id_16,静か庵,京都市東山区三条通南裏白川筋西入三丁目南西海子町４２９番地３,東山区,簡易宿所,H28.7.12,35.009339,135.7770372,1,9,1,33,2,16,0
id_17,ＲＥＳＩＳＴＡＹ五条坂,京都市東山区建仁寺町五条下る一丁目東入芳野町１０５番地２，１０４番地，１０４番地１,東山区,簡易宿所,H31.1.21,35.0047085,135.7735187,1,3,0,48,8,20,0
id_18,京都Ｒａｎｚ 三条Ｏｇａｗａ,京都市中京区小川通三条下る猩々町１２１番地,中京区,簡易宿所,R3.6.17,35.0082629,135.754557,0,35,0,68,7,66,0
id_19,Ｅｘｐｏ　Ｃｏｔｔａｇｅ　灯　－Ａｋａｒｉ－,京都市北区紫野西藤ノ森町１番地５３,北区,簡易宿所,H29.1.16,35.036379,135.7463795,9,6,11,57,0,32,0
id_20,Ｋｙｏｔｏ　Ｍａｃｈｉｙａ　鴨川ガーデンズ　ＹＵＫＩＭＩ,京都市東山区鞘町通五条下る三丁目豊浦町３４６番地１,東山区,簡易宿所,R6.7.25,34.9933217,135.769239,1,15,7,48,3,30,0
id_21,ＫＫ　Ｈｏｕｓｅ　Ｋｙｏｔｏ,京都市南区東九条柳下町５１番地２２,南区,簡易宿所,R3.7.16,34.9746571,135.7633813,6,23,2,78,6,51,13
id_22,太秦聖徳庵,京都市右京区太秦森ケ前町１１番地２３,右京区,簡易宿所,H30.6.21,35.0122874,135.7132061,0,28,1,33,4,36,2
id_23,Ｕｍｅｋｏｊｉ　Ｐｏｔｅｌ　ＫＹＯＴＯ,京都市下京区観喜寺町１５番地,下京区,旅館・ホテル,R2.8.5,34.9874832,135.7458282,3,4,4,45,2,16,0
id_24,旅館ひのもと,京都市下京区河原町通松原上る西入幸竹町３７５番地,下京区,旅館・ホテル,H30.12.26,34.9998347,135.7675723,4,5,0,52,1,28,1
id_25,京都九条　牡丹,京都市南区東九条東御霊町５８番地２０,南区,簡易宿所,H31.4.15,34.9775476,135.7636314,3,17,0,61,3,42,6
id_26,エキスポ　ホステル　ニシ,京都市北区紫野西藤ノ森町１番地の４９,北区,簡易宿所,H27.6.9,35.0365053,135.7463332,36,34,55,91,2,169,42
